direction,num_packets,total_bytes,min_pkt_size,max_pkt_size,mean_pkt_size,std_pkt_size,min_iat,max_iat,mean_iat,std_iat,dur,dport,sport,app
downlink,4,588.0,147.0,147.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,57016.0,53.0,indiatimes
downlink,3,342.0,114.0,114.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,57234.0,53.0,indiatimes
downlink,4,764.0,191.0,191.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0,57337.0,53.0,indiatimes
downlink,3,342.0,114.0,114.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,57401.0,53.0,indiatimes
downlink,4,764.0,191.0,191.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0,57515.0,53.0,indiatimes
downlink,4,764.0,191.0,191.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0,57550.0,53.0,indiatimes
downlink,10,1940.0,194.0,194.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,57569.0,53.0,nypost
downlink,1,165.0,165.0,165.0,165.0,,,,,,0.0,57615.0,53.0,indiatimes
downlink,2,380.0,190.0,190.0,190.0,0.0,0.0,0.0,0.0,,0.0,57681.0,53.0,indiatimes
downlink,1,205.0,205.0,205.0,205.0,,,,,,0.0,57721.0,53.0,indiatimes
downlink,9,1296.0,144.0,144.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,57736.0,53.0,nypost
downlink,1,165.0,165.0,165.0,165.0,,,,,,0.0,57882.0,53.0,indiatimes
downlink,6,1980.0,330.0,330.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,57904.0,53.0,expresscouk
downlink,7,994.0,142.0,142.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,57978.0,53.0,expresscouk
downlink,6,1980.0,330.0,330.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,58423.0,53.0,expresscouk
downlink,5,825.0,165.0,165.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,58462.0,53.0,indiatimes
downlink,11,1064.0,76.0,190.0,96.72727272727273,46.11527059248576,-213.60496,213.60496,0.0,142.40330666666668,0.0,58696.0,53.0,nypost
downlink,5,825.0,165.0,165.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,58772.0,53.0,indiatimes
downlink,6,1980.0,330.0,330.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,58791.0,53.0,expresscouk
downlink,4,660.0,165.0,165.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,59012.0,53.0,indiatimes
downlink,8,928.0,116.0,116.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,59492.0,53.0,expresscouk
downlink,8,608.0,76.0,76.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,59653.0,53.0,expresscouk
downlink,9,684.0,76.0,76.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,59812.0,53.0,nypost
downlink,5,825.0,165.0,165.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,59893.0,53.0,indiatimes
downlink,10,1490.0,149.0,149.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,60222.0,53.0,nypost
downlink,9,1296.0,144.0,144.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,60435.0,53.0,nypost
downlink,4,588.0,147.0,147.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,60471.0,53.0,indiatimes
downlink,1,165.0,165.0,165.0,165.0,,,,,,0.0,60506.0,53.0,indiatimes
downlink,2,296.0,148.0,148.0,148.0,0.0,0.0,0.0,0.0,,0.0,60562.0,53.0,indiatimes
downlink,7,651.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,60723.0,53.0,expresscouk
downlink,3,222.0,74.0,74.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,60756.0,53.0,indiatimes
downlink,1,205.0,205.0,205.0,205.0,,,,,,0.0,60843.0,53.0,indiatimes
uplink,8,480.0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,32906.0,expresscouk
uplink,4,232.0,58.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,33005.0,indiatimes
uplink,2,136.0,68.0,68.0,68.0,0.0,0.0,0.0,0.0,,0.0,53.0,33159.0,indiatimes
uplink,2,136.0,68.0,68.0,68.0,0.0,0.0,0.0,0.0,,0.0,53.0,33236.0,indiatimes
uplink,5,330.0,66.0,66.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,33461.0,indiatimes
uplink,8,480.0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,33599.0,expresscouk
uplink,6,378.0,63.0,63.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,33853.0,expresscouk
uplink,4,232.0,58.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,34428.0,indiatimes
uplink,5,330.0,66.0,66.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,34634.0,indiatimes
uplink,1,64.0,64.0,64.0,64.0,,,,,,0.0,53.0,34681.0,indiatimes
uplink,10,600.0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,34725.0,nypost
uplink,5,330.0,66.0,66.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,35199.0,indiatimes
uplink,1,64.0,64.0,64.0,64.0,,,,,,0.0,53.0,35373.0,indiatimes
uplink,10,600.0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,35428.0,nypost
uplink,9,540.0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,35464.0,nypost
uplink,5,330.0,66.0,66.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,35581.0,indiatimes
uplink,1,64.0,64.0,64.0,64.0,,,,,,0.0,53.0,35868.0,indiatimes
uplink,2,136.0,68.0,68.0,68.0,0.0,0.0,0.0,0.0,,0.0,53.0,35926.0,indiatimes
uplink,2,136.0,68.0,68.0,68.0,0.0,0.0,0.0,0.0,,0.0,53.0,35961.0,indiatimes
uplink,6,378.0,63.0,63.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,36002.0,expresscouk
uplink,7,392.0,56.0,56.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,36154.0,expresscouk
uplink,9,540.0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,36175.0,nypost
uplink,5,330.0,66.0,66.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,36326.0,indiatimes
uplink,8,480.0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,36413.0,expresscouk
uplink,8,480.0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,36562.0,expresscouk
uplink,6,378.0,63.0,63.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,36643.0,expresscouk
uplink,9,540.0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,36696.0,nypost
uplink,8,480.0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,36963.0,expresscouk
uplink,9,540.0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,37065.0,nypost
uplink,2,136.0,68.0,68.0,68.0,0.0,0.0,0.0,0.0,,0.0,53.0,37139.0,indiatimes
uplink,3,174.0,58.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,37195.0,indiatimes
uplink,7,392.0,56.0,56.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,37246.0,expresscouk
uplink,8,480.0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,37362.0,expresscouk
uplink,5,330.0,66.0,66.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,37769.0,indiatimes
uplink,3,174.0,58.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,37982.0,indiatimes
uplink,1,64.0,64.0,64.0,64.0,,,,,,0.0,53.0,38230.0,indiatimes
uplink,7,392.0,56.0,56.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,38327.0,expresscouk
uplink,9,540.0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,38330.0,nypost
uplink,7,420.0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,38549.0,expresscouk
uplink,10,600.0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,38669.0,nypost
uplink,9,540.0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,38730.0,nypost
uplink,1,64.0,64.0,64.0,64.0,,,,,,0.0,53.0,39541.0,indiatimes
uplink,10,600.0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,39966.0,nypost
uplink,10,600.0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,39994.0,nypost
uplink,8,480.0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,40281.0,expresscouk
uplink,3,174.0,58.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,40399.0,indiatimes
uplink,8,480.0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,40590.0,expresscouk
uplink,9,540.0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,40727.0,nypost
uplink,3,174.0,58.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,40781.0,indiatimes
uplink,7,392.0,56.0,56.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,40833.0,expresscouk
uplink,2,136.0,68.0,68.0,68.0,0.0,0.0,0.0,0.0,,0.0,53.0,41113.0,indiatimes
uplink,2,136.0,68.0,68.0,68.0,0.0,0.0,0.0,0.0,,0.0,53.0,41152.0,indiatimes
uplink,3,174.0,58.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,41181.0,indiatimes
uplink,10,600.0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,41267.0,nypost
uplink,9,540.0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,41299.0,nypost
uplink,9,540.0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,41364.0,nypost
uplink,7,392.0,56.0,56.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,41366.0,expresscouk
uplink,7,392.0,56.0,56.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,41449.0,expresscouk
uplink,1,64.0,64.0,64.0,64.0,,,,,,0.0,53.0,41694.0,indiatimes
