direction,num_packets,total_bytes,min_pkt_size,max_pkt_size,mean_pkt_size,std_pkt_size,min_iat,max_iat,mean_iat,std_iat,dur,dport,sport,app
uplink,58,3854.0,52.0,569.0,66.44827586206897,68.91596011359563,9e-06,0.282585,0.010962280701754387,0.04026282012014238,0.62485,443.0,58422.0,expresscouk
uplink,60,3958.0,52.0,569.0,65.96666666666667,67.78829624164214,7e-06,0.056896,0.0025268644067796614,0.007708727222770994,0.14908500000000002,443.0,58430.0,expresscouk
uplink,61,4010.0,52.0,569.0,65.73770491803279,67.24480194021055,7e-06,0.055869,0.002494733333333333,0.007520901532388722,0.14968399999999998,443.0,58444.0,expresscouk
uplink,13,1384.0,40.0,557.0,106.46153846153847,137.7767610935745,1.2e-05,0.054362,0.010124833333333333,0.015818996559564553,0.121498,443.0,38402.0,nypost
uplink,14,1424.0,40.0,557.0,101.71428571428571,133.55807067249154,1.7e-05,0.057046,0.009199692307692308,0.015919443464856714,0.11959600000000001,443.0,38408.0,nypost
uplink,14,1424.0,40.0,557.0,101.71428571428571,133.55807067249154,1.2e-05,0.05453,0.009064000000000003,0.01531044655347017,0.11783200000000003,443.0,38414.0,nypost
uplink,164,9354.0,40.0,569.0,57.03658536585366,41.50244138637482,7e-06,0.093541,0.0043657361963190195,0.013799745468143013,0.7116150000000001,443.0,40002.0,cnbc
uplink,171,9718.0,40.0,569.0,56.83040935672515,40.651320930086065,6e-06,0.054477,0.0024933823529411764,0.007716669362374381,0.423875,443.0,51806.0,cnbc
uplink,172,9770.0,40.0,569.0,56.80232558139535,40.53395653013588,6e-06,0.124265,0.00231893567251462,0.010845876457489812,0.39653800000000006,443.0,51820.0,cnbc
uplink,16,1750.0,40.0,569.0,109.375,128.06294025465237,7e-06,0.06057,0.011826333333333333,0.017472288829812218,0.177395,443.0,58658.0,indiatimes
uplink,18,1842.0,40.0,569.0,102.33333333333333,122.04483264960703,4e-06,0.055408,0.011066823529411763,0.01572604072166328,0.18813599999999997,443.0,58660.0,indiatimes
uplink,16,1750.0,40.0,569.0,109.375,128.06294025465237,8e-06,0.152753,0.019984066666666665,0.04153819800663114,0.29976099999999994,443.0,58670.0,indiatimes
uplink,92,5612.0,40.0,569.0,61.0,55.242920087376085,5e-06,0.275601,0.007759901098901099,0.03239040307081883,0.706151,443.0,37390.0,abcnetau
uplink,90,5496.0,40.0,569.0,61.06666666666667,55.880048096623,7e-06,0.094578,0.004411820224719101,0.012572575520445824,0.392652,443.0,37392.0,abcnetau
uplink,91,5622.0,40.0,569.0,61.78021978021978,55.80756663109846,6e-06,0.081423,0.006091533333333332,0.016011560311926878,0.5482379999999999,443.0,37404.0,abcnetau
uplink,170,9668.0,40.0,569.0,56.870588235294115,40.78600184373914,5e-06,0.278145,0.005017076923076924,0.024700480460914116,0.847886,443.0,43180.0,news18
uplink,161,9200.0,40.0,569.0,57.142857142857146,41.90060517803668,6e-06,0.057834,0.0026443937499999997,0.007368256954130946,0.42310299999999995,443.0,52430.0,news18
uplink,189,10656.0,40.0,569.0,56.38095238095238,38.697996775121275,1e-05,0.18981,0.005453755319148937,0.02097976773355022,1.025306,443.0,52438.0,news18
uplink,17,1699.0,40.0,569.0,99.94117647058823,124.02442833381419,1.2e-05,0.055144,0.013072875,0.019410833984745048,0.209166,443.0,45088.0,ndtv
uplink,17,1699.0,40.0,569.0,99.94117647058823,124.02442833381419,5e-06,0.057224,0.0131235625,0.019656712722693488,0.209977,443.0,45094.0,ndtv
uplink,17,1711.0,40.0,569.0,100.6470588235294,123.69566543359078,1.6e-05,0.086296,0.015619749999999998,0.02538256216512956,0.24991599999999997,443.0,45098.0,ndtv
uplink,14,1439.0,40.0,569.0,102.78571428571429,138.6041283497876,6e-06,0.054971,0.01184976923076923,0.015464415223095494,0.154047,443.0,45830.0,timesofindia
uplink,15,1597.0,40.0,569.0,106.46666666666667,134.3209730813614,6e-06,0.066128,0.014215285714285717,0.01975517189313909,0.19901400000000002,443.0,45838.0,timesofindia
uplink,15,1479.0,40.0,569.0,98.6,134.54250523267996,8e-06,0.094091,0.013850714285714286,0.024510668137108633,0.19391,443.0,45846.0,timesofindia
uplink,45,3189.0,52.0,569.0,70.86666666666666,78.11634679350817,1.8e-05,0.156622,0.030676000000000002,0.06063073727079359,1.349744,443.0,51296.0,rt
uplink,30,2409.0,52.0,569.0,80.3,94.77492393506077,1.2e-05,0.166287,0.04508510344827586,0.07029487005685653,1.307468,443.0,51308.0,rt
uplink,28,2305.0,52.0,569.0,82.32142857142857,97.89830459373667,1.2e-05,0.162894,0.04867537037037036,0.07202487388670674,1.3142349999999998,443.0,51324.0,rt
uplink,193,10857.0,40.0,569.0,56.25388601036269,38.35555693561372,5e-06,9.005366,0.048626348958333336,0.6498202120501636,9.336259,443.0,45684.0,washingtonpost
