address_a,address_b,port_a,port_b,bytes,packets,start,duration,label,ip.proto,ip.len,frame.time
192.0.66.32,192.168.1.54,443,51934,60,1,2024-03-25 05:38:07.839169,0,nypost,6,40,2024-03-25 05:38:07.839169
192.0.66.32,192.168.1.54,443,51934,325,1,2024-03-25 05:38:07.839176,0,nypost,6,311,2024-03-25 05:38:07.839176
192.0.66.32,192.168.1.54,443,51934,325,1,2024-03-25 05:38:07.839179,0,nypost,6,311,2024-03-25 05:38:07.839179
192.0.66.32,192.168.1.54,443,51934,116,1,2024-03-25 05:38:07.839183,0,nypost,6,102,2024-03-25 05:38:07.839183
192.0.66.32,192.168.1.54,443,51934,85,1,2024-03-25 05:38:07.839187,0,nypost,6,71,2024-03-25 05:38:07.839187
192.0.66.32,192.168.1.54,443,51934,540,1,2024-03-25 05:38:07.839190,0,nypost,6,526,2024-03-25 05:38:07.839190
192.168.1.54,192.0.66.32,51934,443,54,1,2024-03-25 05:38:07.839341,0,nypost,6,40,2024-03-25 05:38:07.839341
192.168.1.54,192.0.66.32,51934,443,54,1,2024-03-25 05:38:07.839474,0,nypost,6,40,2024-03-25 05:38:07.839474
192.168.1.54,192.0.66.32,51934,443,54,1,2024-03-25 05:38:07.839527,0,nypost,6,40,2024-03-25 05:38:07.839527
192.168.1.54,192.0.66.32,51934,443,85,1,2024-03-25 05:38:07.839831,0,nypost,6,71,2024-03-25 05:38:07.839831
192.168.1.54,192.0.66.32,51934,443,78,1,2024-03-25 05:38:07.840090,0,nypost,6,64,2024-03-25 05:38:07.840090
192.168.1.54,192.0.66.32,51934,443,54,1,2024-03-25 05:38:07.842121,0,nypost,6,40,2024-03-25 05:38:07.842121
192.0.66.32,192.168.1.54,443,51934,60,1,2024-03-25 05:38:07.846484,0,nypost,6,40,2024-03-25 05:38:07.846484
192.0.66.32,192.168.1.54,443,51934,60,1,2024-03-25 05:38:07.846487,0,nypost,6,40,2024-03-25 05:38:07.846487
192.168.1.54,192.0.66.32,51934,443,54,1,2024-03-25 05:38:07.846580,0,nypost,6,40,2024-03-25 05:38:07.846580
192.0.66.32,192.168.1.54,443,51934,60,1,2024-03-25 05:38:07.848365,0,nypost,6,40,2024-03-25 05:38:07.848365
192.168.1.54,192.0.66.32,51935,443,78,1,2024-03-25 05:38:08.879894,0,nypost,6,64,2024-03-25 05:38:08.879894
192.0.66.32,192.168.1.54,443,51935,66,1,2024-03-25 05:38:08.891744,0,nypost,6,52,2024-03-25 05:38:08.891744
192.168.1.54,192.0.66.32,51935,443,54,1,2024-03-25 05:38:08.891863,0,nypost,6,40,2024-03-25 05:38:08.891863
192.168.1.54,192.0.66.32,51935,443,378,1,2024-03-25 05:38:08.892244,0,nypost,6,364,2024-03-25 05:38:08.892244
192.0.66.32,192.168.1.54,443,51935,60,1,2024-03-25 05:38:08.900343,0,nypost,6,40,2024-03-25 05:38:08.900343
192.0.66.32,192.168.1.54,443,51935,1514,1,2024-03-25 05:38:08.904145,0,nypost,6,1500,2024-03-25 05:38:08.904145
192.0.66.32,192.168.1.54,443,51935,1514,1,2024-03-25 05:38:08.904151,0,nypost,6,1500,2024-03-25 05:38:08.904151
192.0.66.32,192.168.1.54,443,51935,1230,1,2024-03-25 05:38:08.904155,0,nypost,6,1216,2024-03-25 05:38:08.904155
192.0.66.32,192.168.1.54,443,51935,88,1,2024-03-25 05:38:08.904159,0,nypost,6,74,2024-03-25 05:38:08.904159
192.168.1.54,192.0.66.32,51935,443,54,1,2024-03-25 05:38:08.904283,0,nypost,6,40,2024-03-25 05:38:08.904283
192.168.1.54,192.0.66.32,51935,443,54,1,2024-03-25 05:38:08.906644,0,nypost,6,40,2024-03-25 05:38:08.906644
192.168.1.54,192.0.66.32,51935,443,60,1,2024-03-25 05:38:08.906831,0,nypost,6,46,2024-03-25 05:38:08.906831
192.168.1.54,192.0.66.32,51935,443,112,1,2024-03-25 05:38:08.906904,0,nypost,6,98,2024-03-25 05:38:08.906904
192.168.1.54,192.0.66.32,51935,443,140,1,2024-03-25 05:38:08.907075,0,nypost,6,126,2024-03-25 05:38:08.907075
192.168.1.54,192.0.66.32,51935,443,116,1,2024-03-25 05:38:08.907183,0,nypost,6,102,2024-03-25 05:38:08.907183
192.0.66.32,192.168.1.54,443,51935,60,1,2024-03-25 05:38:08.914579,0,nypost,6,40,2024-03-25 05:38:08.914579
192.0.66.32,192.168.1.54,443,51935,325,1,2024-03-25 05:38:08.914585,0,nypost,6,311,2024-03-25 05:38:08.914585
