ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,bytes,packets,start,duration,label,ip.proto,ip.len,frame.time
172.28.0.12,192.0.66.32,45562,443,,,54,1,2024-03-26 03:14:47.589254,0,nypost,6,40,2024-03-26 03:14:47.589254
192.0.66.32,172.28.0.12,443,45562,,,1230,1,2024-03-26 03:14:47.589242,0,nypost,6,1216,2024-03-26 03:14:47.589242
172.28.0.12,192.0.66.32,45562,443,,,54,1,2024-03-26 03:14:47.589261,0,nypost,6,40,2024-03-26 03:14:47.589261
192.0.66.32,172.28.0.12,443,45562,,,104,1,2024-03-26 03:14:47.589243,0,nypost,6,90,2024-03-26 03:14:47.589243
172.28.0.12,192.0.66.32,45562,443,,,54,1,2024-03-26 03:14:47.589265,0,nypost,6,40,2024-03-26 03:14:47.589265
172.28.0.12,192.0.66.32,45562,443,,,134,1,2024-03-26 03:14:47.591418,0,nypost,6,120,2024-03-26 03:14:47.591418
172.28.0.12,192.0.66.32,45562,443,,,100,1,2024-03-26 03:14:47.591555,0,nypost,6,86,2024-03-26 03:14:47.591555
172.28.0.12,192.0.66.32,45562,443,,,103,1,2024-03-26 03:14:47.591574,0,nypost,6,89,2024-03-26 03:14:47.591574
172.28.0.12,192.0.66.32,45562,443,,,89,1,2024-03-26 03:14:47.591586,0,nypost,6,75,2024-03-26 03:14:47.591586
172.28.0.12,192.0.66.32,45562,443,,,116,1,2024-03-26 03:14:47.591618,0,nypost,6,102,2024-03-26 03:14:47.591618
192.0.66.32,172.28.0.12,443,45562,,,341,1,2024-03-26 03:14:47.605810,0,nypost,6,327,2024-03-26 03:14:47.605810
192.0.66.32,172.28.0.12,443,45562,,,341,1,2024-03-26 03:14:47.605845,0,nypost,6,327,2024-03-26 03:14:47.605845
192.0.66.32,172.28.0.12,443,45562,,,116,1,2024-03-26 03:14:47.605877,0,nypost,6,102,2024-03-26 03:14:47.605877
192.0.66.32,172.28.0.12,443,45562,,,54,1,2024-03-26 03:14:47.605878,0,nypost,6,40,2024-03-26 03:14:47.605878
172.28.0.12,192.0.66.32,45562,443,,,54,1,2024-03-26 03:14:47.605973,0,nypost,6,40,2024-03-26 03:14:47.605973
172.28.0.12,192.0.66.32,45562,443,,,85,1,2024-03-26 03:14:47.605999,0,nypost,6,71,2024-03-26 03:14:47.605999
192.0.66.32,172.28.0.12,443,45562,,,85,1,2024-03-26 03:14:47.606091,0,nypost,6,71,2024-03-26 03:14:47.606091
192.0.66.32,172.28.0.12,443,45562,,,541,1,2024-03-26 03:14:47.606272,0,nypost,6,527,2024-03-26 03:14:47.606272
172.28.0.12,192.0.66.32,45562,443,,,54,1,2024-03-26 03:14:47.606292,0,nypost,6,40,2024-03-26 03:14:47.606292
172.28.0.12,192.0.66.32,45562,443,,,78,1,2024-03-26 03:14:47.606424,0,nypost,6,64,2024-03-26 03:14:47.606424
172.28.0.12,192.0.66.32,45562,443,,,54,1,2024-03-26 03:14:47.607169,0,nypost,6,40,2024-03-26 03:14:47.607169
192.0.66.32,172.28.0.12,443,45562,,,54,1,2024-03-26 03:14:47.620702,0,nypost,6,40,2024-03-26 03:14:47.620702
192.0.66.32,172.28.0.12,443,45562,,,54,1,2024-03-26 03:14:47.620811,0,nypost,6,40,2024-03-26 03:14:47.620811
172.28.0.12,192.0.66.32,45562,443,,,54,1,2024-03-26 03:14:47.620818,0,nypost,6,40,2024-03-26 03:14:47.620818
